GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
40,OK,Oklahoma,2012,38,1,Y,25,2,Y,13,1,Y,3,0,N,14,3,Y,7,1,N,7,1,N,7,1,N
41,OR,Oregon,2012,83,3,Y,36,2,Y,47,3,Y,19,3,Y,28,5,Y,16,3,Y,9,2,N,10,1,N
42,PA,Pennsylvania,2012,394,4,Y,186,4,Y,208,4,Y,96,5,Y,134,9,Y,70,4,Y,59,3,Y,31,1,Y
44,RI,Rhode Island,2012,68,8,Y,29,7,Y,39,8,Y,9,5,N,19,15,Y,20,15,Y,15,10,Y,6,2,N
45,SC,South Carolina,2012,72,2,Y,34,2,Y,38,2,Y,11,1,N,26,4,Y,16,3,Y,13,2,Y,5,0,N
46,SD,South Dakota,2012,6,1,N,3,1,N,3,1,N,-1,-1,N,4,4,N,-1,-1,N,1,1,N,1,0,N
47,TN,Tennessee,2012,100,2,Y,58,2,Y,42,2,Y,21,2,Y,33,4,Y,21,2,Y,16,2,Y,9,1,N
48,TX,Texas,2012,519,2,Y,314,3,Y,205,2,Y,70,2,Y,152,4,Y,114,3,Y,123,4,Y,59,1,Y
49,UT,Utah,2012,28,1,Y,18,2,Y,10,1,N,3,1,N,8,2,N,11,3,N,5,2,N,1,0,N
50,VT,Vermont,2012,8,1,N,3,1,N,5,2,N,2,2,N,2,3,N,3,4,N,1,1,N,-1,-1,N
51,VA,Virginia,2012,256,4,Y,147,4,Y,109,3,Y,33,2,Y,98,9,Y,53,5,Y,56,5,Y,16,1,Y
53,WA,Washington,2012,188,3,Y,104,4,Y,84,3,Y,35,3,Y,59,6,Y,42,5,Y,31,3,Y,22,1,Y
