"","State","Year","population"
"183","New Hampshire","2015",1336294
"184","New Jersey","2015",8870869
"185","New Mexico","2015",2090211
"186","New York","2015",19661411
"187","North Carolina","2015",10033079
"188","North Dakota","2015",754022
"189","Ohio","2015",11617850
"190","Oklahoma","2015",3909831
"191","Oregon","2015",4016918
"192","Pennsylvania","2015",12785759
"193","Rhode Island","2015",1056173
"194","South Carolina","2015",4892253
"195","South Dakota","2015",853933
"196","Tennessee","2015",6590808
"197","Texas","2015",27486814
"198","Utah","2015",2982497
"199","Vermont","2015",625197
"200","Virginia","2015",8362907
"201","Washington","2015",7163543
"202","West Virginia","2015",1841996
"203","Wisconsin","2015",5761406
"204","Wyoming","2015",585668
"205","Alabama","2016",4864745
"206","Alaska","2016",741504
"207","Arizona","2016",6945452
"208","Arkansas","2016",2990410
"209","California","2016",39209127
"210","Colorado","2016",5540921
"211","Connecticut","2016",3578674
"212","Delaware","2016",949216
"213","District of Columbia","2016",686575
"214","Florida","2016",20629982
"215","Georgia","2016",10304763
"216","Hawaii","2016",1428105
"217","Idaho","2016",1682930
"218","Illinois","2016",12826895
"219","Indiana","2016",6633344
"220","Iowa","2016",3131785
"221","Kansas","2016",2911263
"222","Kentucky","2016",4438229
"223","Louisiana","2016",4678215
"224","Maine","2016",1331370
"225","Maryland","2016",6004692
"226","Massachusetts","2016",6826022
"227","Michigan","2016",9951890
"228","Minnesota","2016",5523409
"229","Mississippi","2016",2988298
"230","Missouri","2016",6087203
"231","Montana","2016",1040863
"232","Nebraska","2016",1905924
"233","Nevada","2016",2919772
"234","New Hampshire","2016",1342373
"235","New Jersey","2016",8874516
"236","New Mexico","2016",2092789
"237","New York","2016",19641589
"238","North Carolina","2016",10156679
"239","North Dakota","2016",754353
"240","Ohio","2016",11635003
"241","Oklahoma","2016",3926769
"242","Oregon","2016",4091404
"243","Pennsylvania","2016",12783538
"244","Rhode Island","2016",1057063
"245","South Carolina","2016",4958235
"246","South Dakota","2016",862890
"247","Tennessee","2016",6645011
"248","Texas","2016",27937492
"249","Utah","2016",3042613
"250","Vermont","2016",623644
"251","Virginia","2016",8410946
"252","Washington","2016",7294680
"253","West Virginia","2016",1830929
"254","Wisconsin","2016",5772958
"255","Wyoming","2016",584290
