"","GEOID","State","County","CountyPrevalence","TotalIDU","PercentIDU"
"2967",53027,"WA","Grays Harbor County",78,0,0
"2968",53029,"WA","Island County",77,0,0
"2969",53031,"WA","Jefferson County",31,0,0
"2970",53033,"WA","King County",6484,826,12.7390499691548
"2971",53035,"WA","Kitsap County",283,25,8.8339222614841
"2972",53037,"WA","Kittitas County",26,0,0
"2973",53039,"WA","Klickitat County",11,0,0
"2974",53041,"WA","Lewis County",44,0,0
"2975",53043,"WA","Lincoln County",7,0,0
"2976",53045,"WA","Mason County",72,7,9.72222222222222
"2977",53047,"WA","Okanogan County",24,6,25
"2978",53049,"WA","Pacific County",33,0,0
"2979",53051,"WA","Pend Oreille County",11,0,0
"2980",53053,"WA","Pierce County",1330,257,19.3233082706767
"2981",53055,"WA","San Juan County",23,0,0
"2982",53057,"WA","Skagit County",83,0,0
"2983",53059,"WA","Skamania County",5,0,0
"2984",53061,"WA","Snohomish County",929,193,20.7750269106566
"2985",53063,"WA","Spokane County",543,61,11.2338858195212
"2986",53065,"WA","Stevens County",22,0,0
"2987",53067,"WA","Thurston County",269,35,13.0111524163569
"2988",53069,"WA","Wahkiakum County",NA,0,NA
"2989",53071,"WA","Walla Walla County",53,0,0
"2990",53073,"WA","Whatcom County",200,33,16.5
"2991",53075,"WA","Whitman County",21,0,0
"2992",53077,"WA","Yakima County",234,43,18.3760683760684
"2993",54001,"WV","Barbour County",16,0,0
"2994",54003,"WV","Berkeley County",144,36,25
"2995",54005,"WV","Boone County",12,0,0
"2996",54007,"WV","Braxton County",8,0,0
"2997",54009,"WV","Brooke County",16,0,0
"2998",54011,"WV","Cabell County",150,42,28
"2999",54013,"WV","Calhoun County",NA,0,NA
"3000",54015,"WV","Clay County",NA,0,NA
"3001",54017,"WV","Doddridge County",11,0,0
"3002",54019,"WV","Fayette County",43,0,0
"3003",54021,"WV","Gilmer County",28,7,25
"3004",54023,"WV","Grant County",13,0,0
"3005",54025,"WV","Greenbrier County",36,14,38.8888888888889
"3006",54027,"WV","Hampshire County",22,0,0
"3007",54029,"WV","Hancock County",12,0,0
"3008",54031,"WV","Hardy County",6,0,0
"3009",54033,"WV","Harrison County",42,0,0
"3010",54035,"WV","Jackson County",15,0,0
"3011",54037,"WV","Jefferson County",37,0,0
"3012",54039,"WV","Kanawha County",326,61,18.7116564417178
"3013",54041,"WV","Lewis County",NA,0,NA
"3014",54043,"WV","Lincoln County",9,0,0
"3015",54045,"WV","Logan County",11,0,0
"3016",54047,"WV","Mcdowell County",14,0,0
"3017",54049,"WV","Marion County",15,0,0
"3018",54051,"WV","Marshall County",23,0,0
"3019",54053,"WV","Mason County",8,0,0
"3020",54055,"WV","Mercer County",40,0,0
"3021",54057,"WV","Mineral County",5,0,0
"3022",54059,"WV","Mingo County",8,0,0
"3023",54061,"WV","Monongalia County",96,9,9.375
"3024",54063,"WV","Monroe County",35,13,37.1428571428571
"3025",54065,"WV","Morgan County",6,0,0
"3026",54067,"WV","Nicholas County",6,0,0
"3027",54069,"WV","Ohio County",43,0,0
"3028",54071,"WV","Pendleton County",NA,0,NA
"3029",54073,"WV","Pleasants County",5,0,0
"3030",54075,"WV","Pocahontas County",6,0,0
"3031",54077,"WV","Preston County",38,0,0
"3032",54079,"WV","Putnam County",26,0,0
"3033",54081,"WV","Raleigh County",117,32,27.3504273504274
"3034",54083,"WV","Randolph County",26,0,0
"3035",54085,"WV","Ritchie County",NA,0,NA
"3036",54087,"WV","Roane County",NA,0,NA
"3037",54089,"WV","Summers County",15,0,0
"3038",54091,"WV","Taylor County",10,0,0
"3039",54093,"WV","Tucker County",NA,0,NA
"3040",54095,"WV","Tyler County",10,0,0
"3041",54097,"WV","Upshur County",7,0,0
"3042",54099,"WV","Wayne County",10,0,0
"3043",54101,"WV","Webster County",6,0,0
"3044",54103,"WV","Wetzel County",NA,0,NA
"3045",54105,"WV","Wirt County",NA,0,NA
"3046",54107,"WV","Wood County",51,0,0
"3047",54109,"WV","Wyoming County",6,0,0
"3048",55001,"WI","Adams County",22,0,0
"3049",55003,"WI","Ashland County",8,0,0
"3050",55005,"WI","Barron County",27,0,0
"3051",55007,"WI","Bayfield County",7,0,0
"3052",55009,"WI","Brown County",206,35,16.9902912621359
"3053",55011,"WI","Buffalo County",NA,0,NA
"3054",55013,"WI","Burnett County",11,0,0
"3055",55015,"WI","Calumet County",9,0,0
"3056",55017,"WI","Chippewa County",22,0,0
"3057",55019,"WI","Clark County",10,0,0
"3058",55021,"WI","Columbia County",26,0,0
"3059",55023,"WI","Crawford County",15,0,0
"3060",55025,"WI","Dane County",652,116,17.7914110429448
"3061",55027,"WI","Dodge County",91,8,8.79120879120879
"3062",55029,"WI","Door County",14,0,0
"3063",55031,"WI","Douglas County",19,0,0
"3064",55033,"WI","Dunn County",15,0,0
"3065",55035,"WI","Eau Claire County",34,0,0
"3066",55037,"WI","Florence County",NA,0,NA
"3067",55039,"WI","Fond du Lac County",47,6,12.7659574468085
"3068",55041,"WI","Forest County",NA,0,NA
"3069",55043,"WI","Grant County",13,0,0
"3070",55045,"WI","Green County",9,0,0
"3071",55047,"WI","Green Lake County",10,0,0
"3072",55049,"WI","Iowa County",7,0,0
"3073",55051,"WI","Iron County",NA,0,NA
"3074",55053,"WI","Jackson County",8,0,0
"3075",55055,"WI","Jefferson County",25,0,0
"3076",55057,"WI","Juneau County",14,0,0
"3077",55059,"WI","Kenosha County",202,42,20.7920792079208
"3078",55061,"WI","Kewaunee County",7,0,0
"3079",55063,"WI","La Crosse County",101,18,17.8217821782178
"3080",55065,"WI","Lafayette County",NA,0,NA
"3081",55067,"WI","Langlade County",6,0,0
"3082",55069,"WI","Lincoln County",6,0,0
"3083",55071,"WI","Manitowoc County",37,0,0
"3084",55073,"WI","Marathon County",58,5,8.62068965517241
"3085",55075,"WI","Marinette County",17,0,0
"3086",55077,"WI","Marquette County",14,0,0
"3087",55078,"WI","Menominee County",7,0,0
"3088",55079,"WI","Milwaukee County",2809,629,22.3923104307583
"3089",55081,"WI","Monroe County",14,0,0
"3090",55083,"WI","Oconto County",6,0,0
"3091",55085,"WI","Oneida County",11,0,0
"3092",55087,"WI","Outagamie County",93,14,15.0537634408602
"3093",55089,"WI","Ozaukee County",26,0,0
"3094",55091,"WI","Pepin County",NA,0,NA
"3095",55093,"WI","Pierce County",11,0,0
"3096",55095,"WI","Polk County",10,0,0
"3097",55097,"WI","Portage County",25,0,0
"3098",55099,"WI","Price County",NA,0,NA
"3099",55101,"WI","Racine County",203,47,23.1527093596059
"3100",55103,"WI","Richland County",NA,0,NA
"3101",55105,"WI","Rock County",135,40,29.6296296296296
"3102",55107,"WI","Rusk County",9,0,0
"3103",55109,"WI","St. Croix County",20,0,0
"3104",55111,"WI","Sauk County",29,0,0
"3105",55113,"WI","Sawyer County",NA,0,NA
"3106",55115,"WI","Shawano County",14,0,0
"3107",55117,"WI","Sheboygan County",58,0,0
"3108",55119,"WI","Taylor County",NA,0,NA
"3109",55121,"WI","Trempealeau County",5,0,0
"3110",55123,"WI","Vernon County",9,0,0
"3111",55125,"WI","Vilas County",NA,0,NA
"3112",55127,"WI","Walworth County",47,0,0
"3113",55129,"WI","Washburn County",9,0,0
"3114",55131,"WI","Washington County",36,0,0
"3115",55133,"WI","Waukesha County",163,27,16.5644171779141
"3116",55135,"WI","Waupaca County",17,0,0
"3117",55137,"WI","Waushara County",11,0,0
"3118",55139,"WI","Winnebago County",87,5,5.74712643678161
"3119",55141,"WI","Wood County",32,0,0
"3120",56001,"WY","Albany County",15,0,0
"3121",56003,"WY","Big Horn County",NA,0,NA
"3122",56005,"WY","Campbell County",19,0,0
"3123",56007,"WY","Carbon County",9,0,0
"3124",56009,"WY","Converse County",NA,0,NA
"3125",56011,"WY","Crook County",NA,0,NA
"3126",56013,"WY","Fremont County",21,0,0
"3127",56015,"WY","Goshen County",5,0,0
"3128",56017,"WY","Hot Springs County",NA,0,NA
"3129",56019,"WY","Johnson County",NA,0,NA
"3130",56021,"WY","Laramie County",88,0,0
"3131",56023,"WY","Lincoln County",6,0,0
"3132",56025,"WY","Natrona County",35,0,0
"3133",56027,"WY","Niobrara County",NA,0,NA
"3134",56029,"WY","Park County",5,0,0
"3135",56031,"WY","Platte County",NA,0,NA
"3136",56033,"WY","Sheridan County",8,0,0
"3137",56035,"WY","Sublette County",NA,0,NA
"3138",56037,"WY","Sweetwater County",31,0,0
"3139",56039,"WY","Teton County",10,0,0
"3140",56041,"WY","Uinta County",NA,0,NA
"3141",56043,"WY","Washakie County",NA,0,NA
"3142",56045,"WY","Weston County",NA,0,NA
"3143",72001,"PR","Adjuntas Municipio",NA,NA,NA
"3144",72003,"PR","Aguada Municipio",NA,NA,NA
"3145",72005,"PR","Aguadilla Municipio",NA,NA,NA
"3146",72007,"PR","Aguas Buenas Municipio",NA,NA,NA
"3147",72009,"PR","Aibonito Municipio",NA,NA,NA
"3148",72011,"PR","Anasco Municipio",NA,NA,NA
"3149",72013,"PR","Arecibo Municipio",NA,NA,NA
"3150",72015,"PR","Arroyo Municipio",NA,NA,NA
"3151",72017,"PR","Barceloneta Municipio",NA,NA,NA
"3152",72019,"PR","Barranquitas Municipio",NA,NA,NA
"3153",72021,"PR","Bayamon Municipio",NA,NA,NA
"3154",72023,"PR","Cabo Rojo Municipio",NA,NA,NA
"3155",72025,"PR","Caguas Municipio",NA,NA,NA
"3156",72027,"PR","Camuy Municipio",NA,NA,NA
"3157",72029,"PR","Canovanas Municipio",NA,NA,NA
"3158",72031,"PR","Carolina Municipio",NA,NA,NA
"3159",72033,"PR","Catano Municipio",NA,NA,NA
"3160",72035,"PR","Cayey Municipio",NA,NA,NA
"3161",72037,"PR","Ceiba Municipio",NA,NA,NA
"3162",72039,"PR","Ciales Municipio",NA,NA,NA
"3163",72041,"PR","Cidra Municipio",NA,NA,NA
"3164",72043,"PR","Coamo Municipio",NA,NA,NA
"3165",72045,"PR","Comerio Municipio",NA,NA,NA
"3166",72047,"PR","Corozal Municipio",NA,NA,NA
"3167",72049,"PR","Culebra Municipio",NA,NA,NA
"3168",72051,"PR","Dorado Municipio",NA,NA,NA
"3169",72053,"PR","Fajardo Municipio",NA,NA,NA
"3170",72054,"PR","Florida Municipio",NA,NA,NA
"3171",72055,"PR","Guanica Municipio",NA,NA,NA
"3172",72057,"PR","Guayama Municipio",NA,NA,NA
"3173",72059,"PR","Guayanilla Municipio",NA,NA,NA
"3174",72061,"PR","Guaynabo Municipio",NA,NA,NA
"3175",72063,"PR","Gurabo Municipio",NA,NA,NA
"3176",72065,"PR","Hatillo Municipio",NA,NA,NA
"3177",72067,"PR","Hormigueros Municipio",NA,NA,NA
"3178",72069,"PR","Humacao Municipio",NA,NA,NA
"3179",72071,"PR","Isabela Municipio",NA,NA,NA
"3180",72073,"PR","Jayuya Municipio",NA,NA,NA
"3181",72075,"PR","Juana Diaz Municipio",NA,NA,NA
"3182",72077,"PR","Juncos Municipio",NA,NA,NA
"3183",72079,"PR","Lajas Municipio",NA,NA,NA
"3184",72081,"PR","Lares Municipio",NA,NA,NA
"3185",72083,"PR","Las Marias Municipio",NA,NA,NA
"3186",72085,"PR","Las Piedras Municipio",NA,NA,NA
"3187",72087,"PR","Loiza Municipio",NA,NA,NA
"3188",72089,"PR","Luquillo Municipio",NA,NA,NA
"3189",72091,"PR","Manati Municipio",NA,NA,NA
"3190",72093,"PR","Maricao Municipio",NA,NA,NA
"3191",72095,"PR","Maunabo Municipio",NA,NA,NA
"3192",72097,"PR","Mayaguez Municipio",NA,NA,NA
"3193",72099,"PR","Moca Municipio",NA,NA,NA
"3194",72101,"PR","Morovis Municipio",NA,NA,NA
"3195",72103,"PR","Naguabo Municipio",NA,NA,NA
"3196",72105,"PR","Naranjito Municipio",NA,NA,NA
"3197",72107,"PR","Orocovis Municipio",NA,NA,NA
"3198",72109,"PR","Patillas Municipio",NA,NA,NA
"3199",72111,"PR","Penuelas Municipio",NA,NA,NA
"3200",72113,"PR","Ponce Municipio",NA,NA,NA
"3201",72115,"PR","Quebradillas Municipio",NA,NA,NA
"3202",72117,"PR","Rincon Municipio",NA,NA,NA
"3203",72119,"PR","Rio Grande Municipio",NA,NA,NA
"3204",72121,"PR","Sabana Grande Municipio",NA,NA,NA
"3205",72123,"PR","Salinas Municipio",NA,NA,NA
"3206",72125,"PR","San German Municipio",NA,NA,NA
"3207",72127,"PR","San Juan Municipio",NA,NA,NA
"3208",72129,"PR","San Lorenzo Municipio",NA,NA,NA
"3209",72131,"PR","San Sebastian Municipio",NA,NA,NA
"3210",72133,"PR","Santa Isabel Municipio",NA,NA,NA
"3211",72135,"PR","Toa Alta Municipio",NA,NA,NA
"3212",72137,"PR","Toa Baja Municipio",NA,NA,NA
"3213",72139,"PR","Trujillo Alto Municipio",NA,NA,NA
"3214",72141,"PR","Utuado Municipio",NA,NA,NA
"3215",72143,"PR","Vega Alta Municipio",NA,NA,NA
"3216",72145,"PR","Vega Baja Municipio",NA,NA,NA
"3217",72147,"PR","Vieques Municipio",NA,NA,NA
"3218",72149,"PR","Villalba Municipio",NA,NA,NA
"3219",72151,"PR","Yabucoa Municipio",NA,NA,NA
"3220",72153,"PR","Yauco Municipio",NA,NA,NA
"3221",NA,NA,NA,NA,NA,NA
