"","GEOID","State","County","CountyPrevalence","TotalIDU","PercentIDU"
"2640",48233,"TX","Hutchinson County",18,0,0
"2641",48235,"TX","Irion County",5,0,0
"2642",48237,"TX","Jack County",10,0,0
"2643",48239,"TX","Jackson County",15,0,0
"2644",48241,"TX","Jasper County",46,10,21.7391304347826
"2645",48243,"TX","Jeff Davis County",NA,0,NA
"2646",48245,"TX","Jefferson County",1189,357,30.0252312867956
"2647",48247,"TX","Jim Hogg County",5,0,0
"2648",48249,"TX","Jim Wells County",25,0,0
"2649",48251,"TX","Johnson County",215,51,23.7209302325581
"2650",48253,"TX","Jones County",39,5,12.8205128205128
"2651",48255,"TX","Karnes County",32,0,0
"2652",48257,"TX","Kaufman County",177,54,30.5084745762712
"2653",48259,"TX","Kendall County",37,0,0
"2654",48261,"TX","Kenedy County",NA,0,NA
"2655",48263,"TX","Kent County",NA,0,NA
"2656",48265,"TX","Kerr County",52,0,0
"2657",48267,"TX","Kimble County",NA,0,NA
"2658",48269,"TX","King County",NA,0,NA
"2659",48271,"TX","Kinney County",8,0,0
"2660",48273,"TX","Kleberg County",27,0,0
"2661",48275,"TX","Knox County",NA,0,NA
"2662",48277,"TX","Lamar County",58,10,17.2413793103448
"2663",48279,"TX","Lamb County",15,0,0
"2664",48281,"TX","Lampasas County",15,0,0
"2665",48283,"TX","La Salle County",13,0,0
"2666",48285,"TX","Lavaca County",15,0,0
"2667",48287,"TX","Lee County",21,0,0
"2668",48289,"TX","Leon County",23,0,0
"2669",48291,"TX","Liberty County",275,108,39.2727272727273
"2670",48293,"TX","Limestone County",26,0,0
"2671",48295,"TX","Lipscomb County",NA,0,NA
"2672",48297,"TX","Live Oak County",14,0,0
"2673",48299,"TX","Llano County",23,0,0
"2674",48301,"TX","Loving County",NA,0,NA
"2675",48303,"TX","Lubbock County",446,67,15.0224215246637
"2676",48305,"TX","Lynn County",NA,0,NA
"2677",48307,"TX","Mcculloch County",6,0,0
"2678",48309,"TX","McLennan County",406,131,32.2660098522167
"2679",48311,"TX","Mcmullen County",NA,0,NA
"2680",48313,"TX","Madison County",34,5,14.7058823529412
"2681",48315,"TX","Marion County",18,0,0
"2682",48317,"TX","Martin County",NA,0,NA
"2683",48319,"TX","Mason County",NA,0,NA
"2684",48321,"TX","Matagorda County",66,6,9.09090909090909
"2685",48323,"TX","Maverick County",71,9,12.6760563380282
"2686",48325,"TX","Medina County",64,8,12.5
"2687",48327,"TX","Menard County",NA,0,NA
"2688",48329,"TX","Midland County",175,35,20
"2689",48331,"TX","Milam County",42,12,28.5714285714286
"2690",48333,"TX","Mills County",NA,0,NA
"2691",48335,"TX","Mitchell County",NA,0,NA
"2692",48337,"TX","Montague County",14,0,0
"2693",48339,"TX","Montgomery County",725,175,24.1379310344828
"2694",48341,"TX","Moore County",17,0,0
"2695",48343,"TX","Morris County",15,0,0
"2696",48345,"TX","Motley County",NA,0,NA
"2697",48347,"TX","Nacogdoches County",101,34,33.6633663366337
"2698",48349,"TX","Navarro County",86,7,8.13953488372093
"2699",48351,"TX","Newton County",8,0,0
"2700",48353,"TX","Nolan County",18,0,0
"2701",48355,"TX","Nueces County",588,133,22.6190476190476
"2702",48357,"TX","Ochiltree County",NA,0,NA
"2703",48359,"TX","Oldham County",NA,0,NA
"2704",48361,"TX","Orange County",120,30,25
"2705",48363,"TX","Palo Pinto County",31,0,0
"2706",48365,"TX","Panola County",25,0,0
"2707",48367,"TX","Parker County",88,10,11.3636363636364
"2708",48369,"TX","Parmer County",6,0,0
"2709",48371,"TX","Pecos County",14,0,0
"2710",48373,"TX","Polk County",169,36,21.301775147929
"2711",48375,"TX","Potter County",247,52,21.0526315789474
"2712",48377,"TX","Presidio County",6,0,0
"2713",48379,"TX","Rains County",10,0,0
"2714",48381,"TX","Randall County",121,24,19.8347107438017
"2715",48383,"TX","Reagan County",NA,0,NA
"2716",48385,"TX","Real County",NA,0,NA
"2717",48387,"TX","Red River County",17,0,0
"2718",48389,"TX","Reeves County",93,20,21.505376344086
"2719",48391,"TX","Refugio County",NA,0,NA
"2720",48393,"TX","Roberts County",NA,0,NA
"2721",48395,"TX","Robertson County",24,0,0
"2722",48397,"TX","Rockwall County",81,0,0
"2723",48399,"TX","Runnels County",8,0,0
"2724",48401,"TX","Rusk County",150,16,10.6666666666667
"2725",48403,"TX","Sabine County",9,0,0
"2726",48405,"TX","San Augustine County",10,0,0
