GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
45,SC,South Carolina,2016,474,11,Y,426,21,Y,48,2,Y,42,5,Y,185,29,Y,143,23,Y,83,13,Y,24,2,Y
46,SD,South Dakota,2016,69,10,Y,65,18,Y,4,1,N,4,3,N,30,27,Y,20,20,Y,12,12,Y,3,1,N
47,TN,Tennessee,2016,938,17,Y,848,31,Y,90,3,Y,110,10,Y,316,36,Y,237,28,Y,213,24,Y,71,4,Y
48,TX,Texas,2016,4808,21,Y,4521,41,Y,287,3,Y,466,10,Y,1822,45,Y,1236,33,Y,933,27,Y,397,6,Y
49,UT,Utah,2016,540,23,Y,524,44,Y,16,1,Y,56,9,Y,253,56,Y,133,33,Y,73,23,Y,28,5,Y
50,VT,Vermont,2016,61,11,Y,52,20,Y,9,3,N,6,6,N,22,31,Y,18,26,Y,14,16,Y,3,1,N
51,VA,Virginia,2016,1364,19,Y,1273,37,Y,91,3,Y,140,10,Y,573,50,Y,314,29,Y,234,20,Y,114,5,Y
53,WA,Washington,2016,2694,44,Y,2559,84,Y,135,4,Y,257,23,Y,983,92,Y,716,76,Y,555,58,Y,215,11,Y
54,WV,West Virginia,2016,153,10,Y,141,18,Y,12,2,Y,16,6,Y,65,30,Y,41,18,Y,26,11,Y,7,1,N
55,WI,Wisconsin,2016,736,15,Y,703,29,Y,33,1,Y,83,9,Y,267,37,Y,203,30,Y,158,20,Y,32,2,Y
56,WY,Wyoming,2016,26,5,Y,25,10,Y,1,0,N,6,7,N,8,10,N,4,6,N,4,6,N,4,2,N
72,PR,Puerto Rico,2016,55,2,Y,45,3,Y,10,1,N,6,1,N,18,4,Y,8,2,N,16,4,Y,7,1,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,
