GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
34,NJ,New Jersey,2015,1685,22,Y,1336,37,Y,349,9,Y,226,16,Y,684,59,Y,392,34,Y,269,20,Y,114,5,Y
35,NM,New Mexico,2015,190,11,Y,160,19,Y,30,3,Y,33,9,Y,68,25,Y,38,15,Y,28,11,Y,23,4,Y
36,NY,New York,2015,9114,54,Y,7510,93,Y,1604,18,Y,1381,44,Y,3770,131,Y,2157,86,Y,1323,48,Y,513,9,Y
37,NC,North Carolina,2015,1218,14,Y,964,24,Y,254,6,Y,160,10,Y,391,30,Y,336,26,Y,248,18,Y,86,3,Y
38,ND,North Dakota,2015,33,5,Y,29,9,Y,4,1,N,8,6,N,14,12,Y,6,7,N,4,5,N,1,0,N
39,OH,Ohio,2015,1647,17,Y,1370,29,Y,277,6,Y,228,12,Y,687,46,Y,413,29,Y,235,15,Y,87,3,Y
40,OK,Oklahoma,2015,302,9,Y,256,16,Y,46,3,Y,31,5,Y,131,24,Y,81,17,Y,46,10,Y,14,1,Y
41,OR,Oregon,2015,659,19,Y,556,33,Y,103,6,Y,93,15,Y,255,46,Y,162,31,Y,113,22,Y,40,3,Y
42,PA,Pennsylvania,2015,2061,19,Y,1606,30,Y,455,8,Y,331,17,Y,827,50,Y,437,29,Y,311,17,Y,152,4,Y
44,RI,Rhode Island,2015,396,44,Y,320,74,Y,76,16,Y,69,39,Y,140,98,Y,84,68,Y,75,50,Y,29,9,Y
45,SC,South Carolina,2015,387,9,Y,320,16,Y,67,3,Y,45,6,Y,137,22,Y,106,18,Y,74,11,Y,27,2,Y
46,SD,South Dakota,2015,65,9,Y,53,15,Y,12,3,Y,7,5,N,28,25,Y,16,16,Y,9,9,N,5,2,N
47,TN,Tennessee,2015,689,12,Y,530,20,Y,159,6,Y,74,7,Y,239,27,Y,182,22,Y,129,14,Y,67,4,Y
48,TX,Texas,2015,4029,18,Y,3382,31,Y,647,6,Y,494,10,Y,1489,37,Y,1038,28,Y,740,21,Y,291,5,Y
49,UT,Utah,2015,408,17,Y,344,30,Y,64,5,Y,54,9,Y,183,42,Y,91,22,Y,60,19,Y,24,4,Y
50,VT,Vermont,2015,63,12,Y,50,19,Y,13,5,Y,8,8,N,18,25,Y,17,24,Y,12,13,Y,8,4,N
51,VA,Virginia,2015,1137,16,Y,932,27,Y,205,6,Y,148,11,Y,441,38,Y,242,22,Y,228,20,Y,85,4,Y
53,WA,Washington,2015,1951,32,Y,1760,59,Y,191,6,Y,212,19,Y,693,66,Y,521,56,Y,381,40,Y,159,8,Y
54,WV,West Virginia,2015,129,8,Y,108,14,Y,21,3,Y,15,5,Y,51,23,Y,29,13,Y,26,11,Y,6,1,N
55,WI,Wisconsin,2015,545,11,Y,456,19,Y,89,4,Y,84,9,Y,183,25,Y,142,20,Y,111,14,Y,25,1,Y
56,WY,Wyoming,2015,17,4,Y,13,5,Y,4,2,N,2,2,N,8,10,N,3,4,N,3,4,N,1,1,N
72,PR,Puerto Rico,2015,65,2,Y,42,3,Y,23,1,Y,9,2,N,15,4,Y,16,4,Y,15,3,Y,9,1,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,
