GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
1,AL,Alabama,2015,440,11,Y,339,17,Y,101,5,Y,53,7,Y,166,27,Y,105,17,Y,78,12,Y,41,3,Y
2,AK,Alaska,2015,57,9,Y,46,14,Y,11,4,N,10,8,N,20,17,Y,8,9,N,16,17,Y,3,2,N
4,AZ,Arizona,2015,739,13,Y,592,21,Y,147,5,Y,89,8,Y,269,29,Y,180,21,Y,144,17,Y,63,3,Y
5,AR,Arkansas,2015,221,9,Y,189,16,Y,32,3,Y,24,5,Y,100,26,Y,50,14,Y,32,8,Y,15,2,Y
6,CA,California,2015,8097,25,Y,7378,46,Y,719,4,Y,765,12,Y,2655,46,Y,2112,41,Y,1782,34,Y,830,8,Y
8,CO,Colorado,2015,836,18,Y,679,30,Y,157,7,Y,122,14,Y,329,40,Y,185,25,Y,153,21,Y,53,4,Y
9,CT,Connecticut,2015,919,30,Y,690,47,Y,229,14,Y,166,28,Y,380,86,Y,185,43,Y,129,24,Y,61,6,Y
10,DE,Delaware,2015,168,21,Y,128,33,Y,40,10,Y,22,15,Y,73,58,Y,29,26,Y,27,21,Y,18,6,Y
11,DC,District of Columbia,2015,1024,177,Y,969,354,Y,55,18,Y,86,80,Y,373,244,Y,302,314,Y,193,250,Y,76,52,Y
12,FL,Florida,2015,4081,24,Y,3349,40,Y,732,8,Y,387,13,Y,1408,54,Y,1003,41,Y,897,33,Y,399,6,Y
13,GA,Georgia,2015,1654,20,Y,1353,33,Y,301,7,Y,204,12,Y,552,40,Y,414,30,Y,359,26,Y,130,5,Y
15,HI,Hawaii,2015,156,13,Y,126,21,Y,30,5,Y,18,8,Y,53,25,Y,39,22,Y,27,15,Y,20,5,Y
16,ID,Idaho,2015,98,7,Y,84,13,Y,14,2,Y,17,6,Y,38,18,Y,25,12,Y,14,7,Y,5,1,N
17,IL,Illinois,2015,3444,32,Y,3046,58,Y,398,7,Y,413,20,Y,1385,78,Y,920,55,Y,539,31,Y,203,6,Y
18,IN,Indiana,2015,675,12,Y,527,20,Y,148,5,Y,107,9,Y,242,29,Y,182,22,Y,100,11,Y,49,3,Y
19,IA,Iowa,2015,335,13,Y,233,18,Y,102,8,Y,64,12,Y,127,33,Y,85,23,Y,40,10,Y,18,2,Y
20,KS,Kansas,2015,269,11,Y,222,19,Y,47,4,Y,28,6,Y,128,33,Y,47,14,Y,43,12,Y,22,3,Y
21,KY,Kentucky,2015,354,10,Y,278,15,Y,76,4,Y,40,6,Y,121,22,Y,108,19,Y,67,11,Y,24,2,Y
22,LA,Louisiana,2015,562,15,Y,421,22,Y,141,7,Y,88,12,Y,219,33,Y,134,23,Y,88,15,Y,34,3,Y
23,ME,Maine,2015,138,12,Y,106,19,Y,32,5,Y,18,10,Y,59,39,Y,30,20,Y,21,11,Y,10,2,N
24,MD,Maryland,2015,1168,23,Y,944,39,Y,224,9,Y,177,19,Y,419,51,Y,298,39,Y,203,23,Y,82,5,Y
25,MA,Massachusetts,2015,3438,59,Y,2690,96,Y,748,25,Y,502,45,Y,1331,142,Y,719,86,Y,607,62,Y,298,15,Y
26,MI,Michigan,2015,1089,13,Y,834,20,Y,255,6,Y,189,12,Y,369,30,Y,253,22,Y,188,14,Y,86,3,Y
27,MN,Minnesota,2015,873,19,Y,739,33,Y,134,6,Y,132,15,Y,309,41,Y,223,33,Y,149,20,Y,64,4,Y
28,MS,Mississippi,2015,227,9,Y,162,14,Y,65,5,Y,48,9,Y,69,18,Y,60,16,Y,36,10,Y,13,2,Y
29,MO,Missouri,2015,810,16,Y,654,26,Y,156,6,Y,117,12,Y,269,34,Y,217,29,Y,149,18,Y,60,3,Y
30,MT,Montana,2015,61,7,Y,47,11,Y,14,3,Y,6,4,N,27,21,Y,17,14,Y,7,5,N,4,1,N
31,NE,Nebraska,2015,148,10,Y,116,15,Y,32,4,Y,12,4,Y,64,25,Y,46,20,Y,19,8,Y,8,2,N
32,NV,Nevada,2015,366,15,Y,309,26,Y,57,5,Y,39,9,Y,156,38,Y,95,25,Y,56,14,Y,23,3,Y
33,NH,New Hampshire,2015,190,17,Y,161,29,Y,29,5,Y,21,10,Y,70,45,Y,55,35,Y,30,15,Y,15,4,Y
